config,threads,tps_mean,tps_ci_low,tps_ci_high,tps_margin,p99_mean,p99_ci_low,p99_ci_high,p99_margin,n_runs,cv_percent
SC,1,1420.249584211812,1381.5074259711275,1458.9917424524963,38.742158240684375,1.2052799807861447,0.9817175542291616,1.4288424073431278,0.2235624265569831,10,3.8132595421555213
SC,32,24236.752252623573,19873.13775810359,28600.36674714356,4363.614494519985,9.043620037846267,5.449796468244437,12.637443607448098,3.5938235696018306,10,25.168027394547003
SC,64,28519.41847262394,26935.190846224443,30103.646099023437,1584.2276263994972,4.613409959711134,1.8378681763471412,7.388951743075127,2.775541783363993,10,7.765226760178061
SC,256,23999.098878479264,19301.91125215069,28696.28650480784,4697.187626328574,1.9245000323280692,1.6375050708605412,2.211494993795597,0.2869949614675279,10,27.36025866752792
SC,2048,23480.467721705016,18894.12810032806,28066.80734308197,4586.339621376956,1.8483299994841218,1.5426384800947073,2.1540215188735363,0.3056915193894145,10,27.30465500490241
QC,1,1490.4865929285527,1446.6795102610024,1534.293675596103,43.807082667550276,1.43372998572886,1.2833011002218635,1.5841588712358563,0.1504288855069964,10,4.108596428459572
QC,32,19721.662440340406,17672.524078755443,21770.80080192537,2049.1383615849627,2.2361099952831864,1.7296776122546271,2.7425423783117457,0.5064323830285593,10,14.524627008167515
QC,64,19905.56095353769,17625.851702579464,22185.270204495915,2279.7092509582253,6.753460015170276,4.230023052634685,9.276896977705867,2.523436962535591,10,16.009665815991127
QC,256,20684.896627707065,18227.67714561581,23142.11610979832,2457.2194820912555,12.95381998643279,8.274589676829638,17.633050296035943,4.6792303096031524,10,16.6061065804124
QC,2048,20644.59436301704,19144.98202132857,22144.20670470551,1499.6123416884693,17.20329001545906,13.18758169229199,21.21899833862613,4.015708323167069,10,10.154297374018995
