timestamp,active_threads,queue_depth,blocking_ratio,blocking_ratio_ewma,throughput,decision,veto_reason
0.5017130374908447,4,1330,1.0,0.9999999999999998,6716.987098549329,hold,
1.0025527477264404,4,2553,1.0,0.9999999999999998,6543.011532489097,hold,
1.5041799545288086,6,4056,0.99,0.8399999999999999,5974.556322621397,scale_up,
2.0045340061187744,6,3715,1.0,0.9999999999999998,9675.148996229458,hold,
2.5051157474517822,6,3329,1.0,0.9999999999999998,9760.643660292095,hold,
3.0057270526885986,8,3352,1.0,0.9999999999999942,9142.821890198484,scale_up,
3.5065572261810303,8,3447,0.99,0.9996131437377236,8396.059627712395,hold,
4.006853342056274,8,3411,1.0,0.9999999999999998,9266.512077331521,hold,
4.507727146148682,10,3398,1.0,0.9999999999999998,8411.300342676206,scale_up,
5.008755207061768,10,3135,0.99,0.999998538498363,9506.453573318411,hold,
5.50904655456543,10,2730,0.99,0.9999998744579655,9404.520033130415,hold,
6.009957551956177,12,2413,1.0,0.9999999999999998,9616.47882576311,scale_up,
6.510302305221558,12,2034,1.0,0.9999999999999998,8951.82765636868,hold,
7.010560750961304,12,1666,0.99,0.9999999357224785,9930.866819556999,hold,
7.51121187210083,14,1582,1.0,0.9999999999999998,9156.076569980327,scale_up,
8.011656284332275,14,1317,1.0,0.9999999999999998,8722.247453092306,hold,
8.512264013290405,14,1185,1.0,0.9999999999999998,9252.753667307868,hold,
9.012885570526123,16,817,0.99,0.9999999998057332,9923.663749982736,scale_up,
9.513362169265747,16,430,1.0,0.9999999999999998,8366.025525557714,hold,
10.013827562332153,16,24,1.0,0.9999999999999998,10002.689635196732,hold,
10.514079570770264,18,44,1.0,0.9999999999999998,9355.28477858974,scale_up,
11.014731884002686,18,55,1.0,0.9999999999931652,9365.781154042501,hold,
11.515414714813232,18,22,1.0,0.9999999999977605,9253.363037234001,hold,
12.015892505645752,20,82,1.0,0.9999999999982083,7872.477205124345,scale_up,
12.516750812530518,20,55,1.0,0.9999999999999998,9238.14167878931,hold,
13.017436504364014,20,14,1.0,0.9999999999998772,9269.288249490006,hold,
13.51784610748291,22,100,1.0,0.9999999999999998,9220.446552668816,scale_up,
14.01837420463562,22,15,1.0,0.9999999999999969,9160.324916986881,hold,
14.544334650039673,22,81,1.0,0.9999999999999998,7051.861090334799,hold,
15.045013427734375,24,7,1.0,0.9999999999999998,9185.530134061968,scale_up,
15.545727491378784,24,15,1.0,0.9999999999866502,9170.902783471824,hold,
16.046199321746826,24,11,1.0,0.9999999999999998,9199.318963895059,hold,
16.546512365341187,26,26,1.0,0.9999999999999998,9164.262372734356,scale_up,
17.046993732452393,26,38,1.0,0.9999999999999998,9167.174447436631,hold,
17.547425985336304,26,69,1.0,0.9999999999977605,9130.106969863718,hold,
18.11380171775818,28,97,0.99,0.9999999997571665,7537.399213319683,scale_up,
18.614169597625732,28,17,1.0,0.9999999999999998,9159.260984564216,hold,
19.11476445198059,28,53,0.99,0.9954964003726297,9117.15324337853,hold,
19.615638971328735,30,88,1.0,0.9999999999999998,9114.059157852647,scale_up,
20.116207122802734,30,65,1.0,0.9999999999999998,9235.50566768356,hold,
20.61696171760559,30,69,1.0,0.9999999999999998,9178.148433784043,hold,
21.117679834365845,32,103,0.99,0.9999891109642589,9118.903125660663,scale_up,
21.618284940719604,32,1,0.98,0.9999978666238454,9192.874666260257,hold,
22.11884903907776,32,100,0.99,0.999999251711162,9191.630033179044,hold,
22.619242429733276,34,29,1.0,0.9999999999999998,6936.542458030819,scale_up,
23.119927644729614,34,21,1.0,0.9999999999999998,9203.387401870263,hold,
23.620671033859253,34,24,0.99,0.9999999831500337,9180.350853937827,hold,
24.121358394622803,36,32,1.0,0.9999999999999998,9171.391890135164,scale_up,
24.622086763381958,36,25,1.0,0.9999999999999998,9200.597144948093,hold,
25.122501611709595,36,48,1.0,0.9999999999999998,9146.411253175485,hold,
25.623042821884155,38,67,1.0,0.9999999999999998,9152.093587663652,scale_up,
26.12367272377014,38,59,1.0,0.9999999999999998,9204.404256798523,hold,
26.624948978424072,38,105,1.0,0.9999999999999998,9084.810935526908,hold,
27.125312328338623,40,11,1.0,0.9999999999999998,9181.327930561934,scale_up,
27.625675678253174,40,65,1.0,0.9999999999999998,9085.39764308545,hold,
28.126174688339233,40,113,1.0,0.9999999999999998,6497.51534861343,hold,
28.626872301101685,42,16,1.0,0.9999999999999796,9181.190169127052,scale_up,
29.127477169036865,42,63,1.0,0.9999999999999871,9094.997455337434,hold,
29.628217697143555,42,63,1.0,0.9999999999999976,9186.394433445796,hold,
30.141811847686768,42,0,0.99,0.8399999999999961,6742.678039337657,hold,
