workload_desc,threads,tps_mean,tps_margin,p99_pooled,avg_beta,optimal_threads,n_runs
"Balanced (1000 iter, 0.1ms)",8,34650,1123,0.40,0.905,16,5
"Balanced (1000 iter, 0.1ms)",16,35620,1294,1.93,0.941,16,5
"Balanced (1000 iter, 0.1ms)",32,36206,1220,9.17,0.956,16,5
"Balanced (1000 iter, 0.1ms)",64,36366,2255,12.02,0.965,16,5
"Balanced (1000 iter, 0.1ms)",128,34692,3604,23.31,0.967,16,5
"Balanced (1000 iter, 0.1ms)",256,34169,1847,20.71,0.961,16,5
"CPU Dominant (10000 iter, 0.001ms)",8,5592,46,5.84,0.832,32,5
"CPU Dominant (10000 iter, 0.001ms)",16,5276,33,11.46,0.916,32,5
"CPU Dominant (10000 iter, 0.001ms)",32,5525,112,14.83,0.965,32,5
"CPU Dominant (10000 iter, 0.001ms)",64,5388,184,26.75,0.975,32,5
"CPU Dominant (10000 iter, 0.001ms)",128,4454,737,104.25,0.974,32,5
"CPU Dominant (10000 iter, 0.001ms)",256,4944,193,173.88,0.966,32,5
"CPU Heavy (5000 iter, 0.01ms)",8,10051,216,2.30,0.864,16,5
"CPU Heavy (5000 iter, 0.01ms)",16,10291,201,3.87,0.934,16,5
"CPU Heavy (5000 iter, 0.01ms)",32,9793,226,12.30,0.961,16,5
"CPU Heavy (5000 iter, 0.01ms)",64,9579,87,19.44,0.971,16,5
"CPU Heavy (5000 iter, 0.01ms)",128,9411,193,33.73,0.970,16,5
"CPU Heavy (5000 iter, 0.01ms)",256,9505,257,47.54,0.963,16,5
"CPU Leaning (2000 iter, 0.05ms)",8,20339,1310,1.04,0.887,16,5
"CPU Leaning (2000 iter, 0.05ms)",16,22342,1245,2.40,0.932,16,5
"CPU Leaning (2000 iter, 0.05ms)",32,22705,634,10.45,0.953,16,5
"CPU Leaning (2000 iter, 0.05ms)",64,20410,2072,16.84,0.967,16,5
"CPU Leaning (2000 iter, 0.05ms)",128,20743,534,20.08,0.966,16,5
"CPU Leaning (2000 iter, 0.05ms)",256,20115,890,23.08,0.955,16,5
"IO Dominant (500 iter, 0.5ms)",8,12793,224,0.87,0.983,128,5
"IO Dominant (500 iter, 0.5ms)",16,22982,899,5.52,0.984,128,5
"IO Dominant (500 iter, 0.5ms)",32,41624,950,5.62,0.986,128,5
"IO Dominant (500 iter, 0.5ms)",64,57825,3339,11.84,0.987,128,5
"IO Dominant (500 iter, 0.5ms)",128,56010,4057,15.30,0.988,128,5
"IO Dominant (500 iter, 0.5ms)",256,51313,3924,10.45,0.988,128,5
"IO Heavy (100 iter, 1.0ms)",8,6554,229,1.60,0.995,128,5
"IO Heavy (100 iter, 1.0ms)",16,13811,243,1.52,0.997,128,5
"IO Heavy (100 iter, 1.0ms)",32,26363,447,6.08,0.997,128,5
"IO Heavy (100 iter, 1.0ms)",64,45474,846,6.45,0.997,128,5
"IO Heavy (100 iter, 1.0ms)",128,67132,3797,10.08,0.997,128,5
"IO Heavy (100 iter, 1.0ms)",256,66774,4750,8.66,0.997,128,5
